,Article Link,Canonical Name
57,http://www.pbs.org/newshour/bb/hollywood-studios-check-security-hackers-leak-sonys-salaries-embarrassing-emails/,Sony Hack
58,https://corporate.target.com/about/shopping-experience/payment-card-issue-FAQ,Target Hack
59,http://www.engadget.com/2014/12/10/sony-pictures-hack-the-whole-story/,Sony Hack
60,http://krebsonsecurity.com/2014/05/the-target-breach-by-the-numbers/,Target Hack
61,http://www.cnet.com/news/sony-pictures-hack-to-cost-the-company-only-15-million/,Sony Hack
62,http://www.cnet.com/news/sony-pictures-hack-to-cost-the-company-only-15-million/,Sony Hack
63,http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack,Sony Hack
64,http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/,Anthem HealthCare Hack
65,http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/,Anthem HealthCare Hack
66,https://news.yahoo.com/health-insurer-anthem-hit-hackers-wsj-031415011--sector.html,Anthem HealthCare Hack
67,http://www.forbes.com/sites/josephsteinberg/2014/12/11/massive-security-breach-at-sony-heres-what-you-need-to-know/,Sony Hack
68,https://news.yahoo.com/health-insurer-anthem-hit-hackers-wsj-031415011--sector.html,Anthem HealthCare Hack
69,http://fortune.com/2014/10/03/5-huge-cybersecurity-breaches-at-big-companies/,Generic Corporate Breaches
70,http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack,Sony Hack
71,http://www.businessinsider.com/heres-what-happened-to-your-target-data-that-was-hacked-2014-10,Target Hack
72,http://deadline.com/2014/12/sony-hack-timeline-any-pascal-the-interview-north-korea-1201325501/,Sony Hack
73,http://www.reuters.com/article/2014/12/18/us-sony-cybersecurity-theaters-idUSKBN0JV2MA20141218,Sony Hack
74,http://en.wikipedia.org/wiki/2014_celebrity_photo_hack,Celebrity Nude Photos Leak
75,http://abcnews.go.com/US/congress-presses-timely-notification-us-postal-service-data/story?id=27028596,
76,http://www.zdnet.com/article/pentagons-twitter-hack-shows-perils-of-picking-passwords-not-cybersecurity-legislation/,CENTCOM Hack
77,http://deadline.com/2014/12/sony-hack-timeline-any-pascal-the-interview-north-korea-1201325501/,Sony Hack
78,http://www.zacks.com/stock/news/156523/is-north-korea-to-blame-for-sonys-cyber-security-breach,Sony Hack
79,TARGET,Target Hack
80,http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html,Sony Hack
81,http://en.wikipedia.org/wiki/Heartbleed,Heartbleed
82,https://corporate.homedepot.com/mediacenter/pages/statement1.aspx,Home Depot Hack
83,http://www.wsj.com/articles/SB10001424052702303754404579312232546392464,
84,http://thenextweb.com/insider/2014/12/13/timeline-sony-breach-data-leaks-far/,Sony Hack
85,http://www.zdnet.com/article/apple-security-breach-causes-investor-panic-stock-slide-ahead-of-iphone-6-launch/,Apple iCloud Hack
86,http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html,Sony Hack
87,Target,Target Hack
88,http://deadline.com/2014/12/sony-hack-timeline-any-pascal-the-interview-north-korea-1201325501/,Sony Hack
89,http://www.reuters.com/article/2014/12/02/us-sony-cybersecurity-malware-idUSKCN0JF3FE20141202,Sony Hack
90,http://www.ibtimes.com/home-depot-security-breach-how-brian-krebs-broke-story-last-week-1683030,Home Depot Hack
91,http://www.reuters.com/article/2013/12/19/us-target-breach-idUSBRE9BH1GX20131219,Target Hack
92,http://krebsonsecurity.com/tag/target-data-breach/,Target Hack
93,http://www.forbes.com/sites/josephsteinberg/2014/12/11/massive-security-breach-at-sony-heres-what-you-need-to-know/,Sony Hack
94,http://deadline.com/2014/12/sony-hack-timeline-any-pascal-the-interview-north-korea-1201325501/,Sony Hack
95,http://www.engadget.com/2014/12/10/sony-pictures-hack-the-whole-story/,Sony Hack
96,www.thestreet.com/.../sony-breach-has-cybersecurity-indu.,Sony Hack
97,http://www.engadget.com/2014/12/10/sony-pictures-hack-the-whole-story/,Sony Hack
98,http://heartbleed.com/,Heartbleed
99,http://deadline.com/2014/12/sony-hack-timeline-any-pascal-the-interview-north-korea-1201325501/,Sony Hack
100,No link but Target Credit Card numbers being stolen,Target Hack
101,http://www.bbc.co.uk/news/world-us-canada-30785232,
102,http://www.nbcnews.com/storyline/sony-hack,Sony Hack
103,http://www.vulture.com/2014/12/everything-sony-leaks-scandal.html,Sony Hack
104,http://www.npr.org/blogs/codeswitch/2014/12/26/371716376/hollywoods-acceptance-of-white-privilege-revealed-by-sony-hack,Sony Hack
105,http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack,Sony Hack
106,http://www.businessinsurance.com/article/20150116/NEWS07/150119868?tags=%7C299%7C75%7C302%7C303%7C335,
107,http://www.latimes.com/entertainment/envelope/cotown/la-et-ct-sony-hack-inside-job-not-north-korea-20141231-story.html,Sony Hack
108,na,
109,http://www.reuters.com/article/2014/12/19/us-staples-cybersecurity-idUSKBN0JX2CY20141219,Staples Credit Card Hack
110,http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html,Sony Hack
111,http://money.cnn.com/2014/12/03/media/sony-north-korea-cyberattack/,Sony Hack
112,http://techcrunch.com/2014/12/16/hack-sony-twice-shame-on-sony/,Sony Hack
113,http://www.zacks.com/stock/news/156523/is-north-korea-to-blame-for-sonys-cyber-security-breach,Sony Hack
114,https://dupaco.com/dupacodaily/2015/01/kmart-confirms-breach-of-payment-card-data.html,Kmart Credit Card Hack
115,http://money.cnn.com/2015/01/16/technology/security/jester-hacker-vigilante/index.html,Jester Jihadist Attacker
116,http://www.dailymail.co.uk/news/article-2888339/Hackers-release-cache-13-000-passwords-credit-cards-Playstation-Xbox-Amazon-users.html,Playstation / Xbox / Amazon Credit Cards & Passwords Breach
117,http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html,Sony Hack
118,http://www.cnet.com/news/heartbleed-bug-what-you-need-to-know-faq/,Heartbleed
119,http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack,Sony Hack
120,http://www.vulture.com/2014/12/everything-sony-leaks-scandal.html,Sony Hack
121,Sony hackings,Sony Hack
122,http://mobile.nytimes.com/blogs/dealbook/2014/10/02/jpmorgan-discovers-further-cyber-security-issues/?referrer=,JPMorgan Hack
123,Home Depot and Target,Home Depot Hack; Target
124,http://gizmodo.com/after-huge-hack-fury-and-other-unreleased-sony-films-l-1664824686,Sony Hack
125,http://krebsonsecurity.com/tag/home-depot-breach/,Home Depot Hack
126,http://fortune.com/2014/10/03/5-huge-cybersecurity-breaches-at-big-companies/,Generic Corporate Breaches
127,http://www.heritage.org/research/reports/2014/10/cyber-attacks-on-us-companies-in-2014,Generic Corporate Breaches
128,http://www.ibtimes.com/cybersecurity-home-depot-could-be-latest-company-hit-massive-credit-card-data-security-1676544,Home Depot Hack
129,http://www.latimes.com/business/la-fi-sony-cybersecurity-20141227-story.html#page=1,Sony Hack
130,http://www.militarytimes.com/story/military/pentagon/2015/01/14/centcom-twitter-hackers-posted-info-for-many-retired-generals/21766173/,CENTCOM Hack
131,http://www.businessweek.com/articles/2015-01-15/sony-hack-why-movie-chiefs-pascal-lynton-may-survive,Sony Hack
132,http://www.bbc.com/news/technology-30189029,
133,http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html,Sony Hack
134,http://www.washingtonpost.com/business/economy/target-says-70-million-customers-were-hit-by-dec-data-breach-more-than-first-reported/2014/01/10/0ada1026-79fe-11e3-8963-b4b654bcc9b2_story.html,Target Hack
135,http://www.siliconrepublic.com/enterprise/item/40222-gigglebit-sony-security-br,Sony Hack
136,http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack,Sony Hack
137,http://www.nbcnews.com/storyline/sony-hack/sony-hack-n-korean-intel-gleaned-nsa-during-incursion-n288761,Sony Hack
138,http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack,Sony Hack
139,http://techland.time.com/2013/12/19/the-target-credit-card-breach-what-you-should-know/,Target Hack
140,http://www.nbcnews.com/storyline/sony-hack/sony-hack-n-korean-intel-gleaned-nsa-during-incursion-n288761,Sony Hack
142,http://www.forbes.com/sites/josephsteinberg/2014/12/11/massive-security-breach-at-sony-heres-what-you-need-to-know/,Sony Hack
143,http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html,Sony Hack
144,http://www.forbes.com/sites/davelewis/2014/12/17/sony-pictures-how-the-criminal-hackers-won/,Sony Hack
145,http://www.cnet.com/news/53-million-emails-stolen-in-home-depot-breach/,Home Depot Hack
146,http://deadline.com/2014/12/sony-hack-timeline-any-pascal-the-interview-north-korea-1201325501/,Sony Hack
147,http://www.businessweek.com/articles/2014-09-18/home-depot-hacked-wide-open,Home Depot Hack
148,http://www.nytimes.com/2015/01/19/world/asia/nsa-tapped-into-north-korean-networks-before-sony-attack-officials-say.html?_r=0,Sony Hack
149,http://www.nbcnews.com/storyline/sony-hack/sony-hack-n-korean-intel-gleaned-nsa-during-incursion-n288761,Sony Hack
150,http://en.wikipedia.org/wiki/PlayStation_Network_outage,PSN outage
151,http://www.wsj.com/articles/home-depot-breach-bigger-than-targets-1411073571,Home Depot Hack
152,http://www.forbes.com/sites/davelewis/2014/12/17/sony-pictures-how-the-criminal-hackers-won/,Sony Hack
153,Target and Home depot breach,Home Depot Hack; Target
154,http://www.forbes.com/sites/davelewis/2014/12/17/sony-pictures-how-the-criminal-hackers-won/,Sony Hack
155,http://www.washingtonpost.com/news/checkpoint/wp/2015/01/12/centcom-twitter-account-apparently-hacked-by-islamic-state-sympathizers/,CENTCOM Hack
156,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CB4QFjAA&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FSony_Pictures_Entertainment_hack&ei=lhK9VOCLAsijgwSyiIDYCQ&usg=AFQjCNG-6kXeR5jirD_JQlVhY02h-uOtdQ&sig2=R1jHQ8lxzxtl8DFqa4t1KQ,Sony Hack
157,http://www.cbsnews.com/news/target-customers-hit-in-major-credit-card-security-breach/,Target Hack
158,http://deadline.com/2014/12/sony-hack-timeline-any-pascal-the-interview-north-korea-1201325501/,Sony Hack
159,http://www.zacks.com/stock/news/156523/is-north-korea-to-blame-for-sonys-cyber-security-breach,Sony Hack
160,http://www.forbes.com/sites/josephsteinberg/2014/12/11/massive-security-breach-at-sony-heres-what-you-need-to-know/,Sony Hack
161,http://www.theguardian.com/technology/2015/jan/19/lizard-squad-lizardstresser-site-hacked,
162,http://heartbleed.com/,Heartbleed
163,http://www.forbes.com/sites/sungardas/2014/12/31/2014-cyber-security-news-was-dominated-by-the-sony-hack-scandal-and-retail-data-breaches/,Generic Corporate Breaches
164,http://www.cnet.com/news/heartbleed-bug-undoes-web-encryption-reveals-user-passwords/,Heartbleed
165,https://corporate.homedepot.com/MediaCenter/Documents/Press%20Release.pdf,Home Depot Hack
166,http://en.wikipedia.org/wiki/Heartbleed,Heartbleed
167,http://heartbleed.com,Heartbleed
168,"Yahoo, I have no article",Yahoo Hack
169,http://money.cnn.com/2016/09/22/technology/yahoo-hack-password-tips/,Yahoo Hack
170,http://money.cnn.com/2015/03/19/technology/security/target-data-hack-settlement/,Target Hack
171,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
172,Hillary Clinton Email server,Clinton Email Server
173,not possible,
174,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
175,http://fortune.com/2016/11/09/yahoo-hack-data-breach-sec/,Yahoo Hack
176,http://www.databreachtoday.com/telcom-company-three-mobile-breached-in-scam-a-9551,
177,https://en.wikipedia.org/wiki/Ashley_Madison_data_breach,Ashley Madison Hack
178,https://corporate.target.com/press/releases/2013/12/target-confirms-unauthorized-access-to-payment-car,Target Hack
179,http://money.cnn.com/2015/05/22/technology/adult-friendfinder-hacked/,Adult Friend Finder Hack
180,https://www.identityforce.com/blog/irs-data-breach-more-taxpayers-affected,
181,http://www.npr.org/sections/thetwo-way/2015/03/19/394039055/target-offers-10-million-settlement-in-data-breach-lawsuit,Target Hack
182,http://money.cnn.com/2016/09/22/technology/yahoo-data-breach/,Yahoo Hack
184,https://krebsonsecurity.com/2016/06/theres-the-beef-wendys-breach-numbers-about-to-get-much-meatier/,Wendy's Credit Card Hack
185,http://www.forbes.com/sites/ericbasu/2015/10/26/cybersecurity-lessons-learned-from-the-ashley-madison-hack/#1f36388bed99,Ashley Madison Hack
186,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=16&cad=rja&uact=8&ved=0ahUKEwiJhoe26LrQAhUB5yYKHc98DXIQFghoMA8&url=http%3A%2F%2Fwww.npr.org%2Fsections%2Fthetwo-way%2F2015%2F03%2F19%2F394039055%2Ftarget-offers-10-million-settlement-in-data-breach-lawsuit&usg=AFQjCNHU2bucQKMR-xbIyaXPqDZwS39FUA,Target Hack
187,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
188,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
189,https://www.wired.com/2015/08/happened-hackers-posted-stolen-ashley-madison-data/,Ashley Madison Hack
190,http://money.cnn.com/2016/09/22/technology/yahoo-data-breach/,Yahoo Hack
191,http://www.americanbanker.com/bulletins/breach_data_theft_card-1039088-1.html,
192,https://en.wikipedia.org/wiki/2016_Democratic_National_Committee_email_leak,DNC Email Leak
193,https://en.wikipedia.org/wiki/Ashley_Madison_data_breach,Ashley Madison Hack
194,http://www.nytimes.com/2016/10/22/business/internet-problems-attack.html?_r=0,
195,http://www.ibtimes.com/ashley-madison-hack-update-all-high-profile-celebrity-names-attached-private-2066211,Ashley Madison Hack
196,https://www.hackread.com/lastpass-hacked-this-time-for-good/,Lastpass Hack
198,http://www.usatoday.com/story/tech/2016/09/22/report-yahoo-may-confirm-massive-data-breach/90824934/,Yahoo Hack
199,http://www.ibtimes.com/porn-site-hacked-brazzers-accounts-users-personal-info-leaked-online-2412435,Brazzers Hack
200,clinton emails,Clinton Email Server
201,http://www.dailymail.co.uk/sciencetech/article-3617907/65-million-passwords-hacked-Tumblr-Enormous-extent-2013-data-breach-revealed.html,Tumblr Hack
202,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
203,http://www.wsj.com/articles/how-the-sony-data-breach-signals-a-paradigm-shift-in-cybersecurity-1423540851,Sony Hack
204,https://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack,Sony Hack
205,http://krebsonsecurity.com/2014/09/banks-credit-card-breach-at-home-depot/,Home Depot Hack
207,http://techcrunch.com/2014/01/10/targets-data-breach-gets-worse-70-million-customers-had-info-stolen-including-names-emails-and-phones/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Techcrunch+%28TechCrunch%29&utm_content=Netvibes,Target Hack
208,w[A2YGAEODJ5SSF6]g[Cushman Lab RM_SN]s[10352779]:9149e31dde66fdcf0f86ccf0e7a78319d3bbcdbc,
209,vtech,
210,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
211,http://www.wsj.com/articles/home-depot-breach-bigger-than-targets-1411073571,Home Depot Hack
212,http://www.nexusmods.com/fallout4/news/12670/?,
213,millions of clients from Target's stores had their credit information breached,Target Hack
214,china and the us,
215,target,Target Hack
216,http://news.yahoo.com/verizon-says-security-breach-leads-customer-data-leak-223835928--finance.html,Verizon Hack
217,http://www.lowcards.com/1-5-million-customers-information-stolen-in-verizon-data-breach-41038,Ashley Madison Hack
218,https://en.wikipedia.org/wiki/Ashley_Madison_data_breach,Yahoo Hack
219,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
220,http://www.tripwire.com/state-of-security/latest-security-news/sony-hackers-used-phishing-emails-to-breach-company-networks/,Sony Hack
221,http://nypost.com/2015/10/29/the-storm-isnt-over-yet-for-ashley-madison-cheaters/,Ashley Madison Hack
222,http://www.usnews.com/news/business/articles/2016-09-27/password-breach-could-have-ripple-effects-well-beyond-yahoo,Yahoo Hack
223,http://fortune.com/2016/09/22/yahoo-hack-qa/,Yahoo Hack
225,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
226,http://fortune.com/2016/09/22/yahoo-hack-qa/,Yahoo Hack
227,http://www.nytimes.com/2016/08/11/us/politics/democratic-party-russia-hack-cyberattack.html?_r=0,DNC Email Leak
228,http://www.usatoday.com/story/tech/2016/09/22/report-yahoo-may-confirm-massive-data-breach/90824934/,Yahoo Hack
229,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
230,Yahoo,Yahoo Hack
231,https://threatpost.com/questions-mount-around-yahoo-breach/120876/,Yahoo Hack
232,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
233,http://money.cnn.com/2016/09/22/technology/yahoo-data-breach/,Yahoo Hack
234,http://money.cnn.com/2014/12/24/technology/security/sony-hack-facts/,Sony Hack
235,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
236,https://techcrunch.com/2016/04/25/hundreds-of-spotify-credentials-appear-online-users-report-accounts-hacked-emails-changed/,Spotify Hack
237,http://money.cnn.com/2016/09/22/technology/yahoo-data-breach/index.html,Yahoo Hack
238,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
239,https://www.yahoo.com/tech/yahoo-hack-latest-major-cyber-attack-151219455.html,Yahoo Hack
240,https://www.theguardian.com/technology/2016/aug/31/dropbox-hack-passwords-68m-data-breach,Dropbox Hack
241,http://www.nbcnews.com/tech/tech-news/some-yahoo-users-close-accounts-amid-anger-security-fears-n654236,Yahoo Hack
242,https://www.grahamcluley.com/yahoo-email-address-hack/,Yahoo Hack
243,http://www.polygon.com/2014/7/23/5931793/sony-2011-data-breach-class-action-lawsuit,Sony Hack
244,http://www.nbcnews.com/tech/tech-news/some-yahoo-users-close-accounts-amid-anger-security-fears-n654236,Yahoo Hack
245,http://finance.yahoo.com/news/password-breach-could-ripple-effects-100929929.html,Yahoo Hack
246,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
247,http://money.cnn.com/2016/09/22/technology/yahoo-data-breach/,Yahoo Hack
248,http://www.bbc.co.uk/newsbeat/article/37449726/yahoo-hack-hits-500-million-users-but-who-are-the-suspects,Yahoo Hack
249,https://amp.cnn.com/cnn/2016/08/12/politics/guccifer-2-0-hacker-dnc-dccc/index.html,DNC Email Leak
250,http://www.reuters.com/article/us-target-breach-idUSBRE9BH1GX20131219,Target Hack
251,https://en.wikipedia.org/wiki/Ashley_Madison_data_breach,Ashley Madison Hack
252,http://www.whio.com/technology/yahoo-confirms-hack-500-million-users/PGIJkrddWVvbgEMweZS5gK/,Yahoo Hack
253,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
254,http://www.cnet.com/google-amp/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
255,https://en.wikipedia.org/wiki/Ashley_Madison_data_breach,Ashley Madison Hack
256,http://www.cnet.com/google-amp/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
257,http://money.cnn.com/2016/09/22/technology/yahoo-data-breach/,Yahoo Hack
258,http://money.cnn.com/2013/12/22/news/companies/target-credit-card-hack/,Target Hack
259,http://www.usatoday.com/story/tech/2016/09/22/report-yahoo-may-confirm-massive-data-breach/90824934/,Yahoo Hack
260,http://www.dailywire.com/news/7960/wikileaks-hacked-emails-include-hillary-arming-james-barrett,Clinton Email Server
261,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
262,http://fortune.com/2015/08/26/ashley-madison-hack/,Ashley Madison Hack
263,http://www.bloomberg.com/news/videos/b/da235614-3740-4f68-8176-c1a640fc73a1,
264,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
265,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
266,https://www.wired.com/2015/08/happened-hackers-posted-stolen-ashley-madison-data/,Ashley Madison Hack
267,http://fortune.com/2016/09/27/yahoo-hack-senator-sec/,Yahoo Hack
268,http://fortune.com/2016/09/27/yahoo-hack-senator-sec/,Yahoo Hack
269,yahoo email,Yahoo Hack
270,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
271,https://www.yahoo.com/tech/password-breach-could-ripple-effects-100929929.html,Yahoo Hack
272,https://www.cnet.com/news/yahoo-500-million-accounts-hacked-data-breach/,Yahoo Hack
273,http://www.nbcnews.com/tech/tech-news/some-yahoo-users-close-accounts-amid-anger-security-fears-n654236,Yahoo Hack
275,https://www.hackread.com/amazon-suffers-security-breach/,Amazon Kindle Hack
276,http://www.classactionrebates.com/settlements/home-depot/,Home Depot Hack
277,http://www.nydailynews.com/news/politics/clinton-russia-hacked-dnc-servers-article-1.2733136,DNC Email Leak
278,http://money.cnn.com/2013/12/22/news/companies/target-credit-card-hack/,Target Hack
280,http://fortune.com/sony-hack-part-1/,Sony Hack
281,http://fortune.com/2016/08/19/eddie-bauer-data-breach/,Eddie Bauer Credit Card Hack
283,sony,Sony Hack
284,www.cnn.com/2016/07/25/politics/democratic-convention-dnc-emails-russia/,DNC Email Leak
285,http://www.pcworld.com/article/3018481/software/psa-steam-having-serious-issues-with-account-security-at-the-moment.html,Steam Account Caching
